"Tree_name","Standard_length","Lower_jaw_length","Mouth_width"
"Antennarius_commerson",178.35,40.47,37
"Antennarius_hispidus",93.87,29.74,25.28
"Antennarius_indicus",75.6,25.83,16.41
"Antennarius_multiocellatus",89.85,25.03,21.76
"Antennarius_pictus",97.45,21.4,21.66
"Antennarius_striatus",71.67,14.25,15.68
"Antennatus_nummifer",65.34,16.02,15.36
"Antennatus_tuberosus",43.61,14.3,11.73
"Ceratias_holboelli",125.98,24.98,12.34
"Chaunax_abei",157.82,34.11,36.58
"Chaunax_pictus",193.47,43.17,45.43
"Chaunax_suttkusi",219.48,38.79,65.13
"Cryptopsaras_couesii",144.42,34.44,19.53
"Dibranchus_atlanticus",150.53,19.38,28.02
"Fowlerichthys_avalonis",94.99,28.81,20.93
"Halieutichthys_aculeatus",65.23,14.27,20.57
"Himantolophus_groenlandicus",102.81,41.54,43.26
"Histiophryne_cryptacanthus",40.98,13.11,7.42
"Histrio_histrio",112.04,34.42,22.26
"Lophiocharon_lithinostomus",73.88,24.7,14.83
"Lophiodes_caulinaris",122.38,46.25,60.83
"Lophiodes_reticulatus",187.84,69.87,94.96
"Lophiodes_spilurus",147.13,62.17,69.87
"Lophius_americanus",161.03,47.6,72.23
"Lophius_budegassa",206.25,68.38,80.02
"Lophius_gastrophysus",203.32,60.77,85.19
"Lophius_litulon",237.83,72.36,103.34
"Lophius_piscatorius",245.53,86.88,120.5
"Lophius_vaillanti",155.2,54.47,72
"Malthopsis_lutea",66.07,7.57,10.22
"Melanocetus_johnsonii",87.03,34.91,18.74
"Melanocetus_murrayi",63.69,33.52,14.68
"Ogcocephalus_nasutus",152.49,17.93,25.23
"Ogcocephalus_parvus",153.8,16.5,22.8
"Ogcocephalus_radiatus",148.88,18.85,24.53
"Ogcocephalus_vespertilio",202.47,24.27,32.07
"Oneirodes_acanthias",96.51,32.46,42.2
"Oneirodes_luetkeni",85.18,38.65,21.3
"Phyllophryne_scortea",43.95,6.81,8.65
"Tathicarpus_butleri",46.23,10.92,8.28
"Tetrabrachium_ocellatum",45.5,7.05,5.5
"Zalieutes_elater",72.3,6.83,9.33
